CID SURVEY RA DEC z
2009ds 5 177.267 -9.7291 0.02033
2009ds 65 177.267 -9.7291 0.02033
2006ej 57 9.749 -9.0157 0.01926
2006ej 56 9.749 -9.0157 0.01926
2006ej 5 9.749 -9.0157 0.01926
2006ej 64 9.749 -9.0157 0.01926
2002jy 63 20.3178 40.4987 0.0187
2016hpw 18 317.283 -18.1039 0.02019
ATLAS16dqf 150 317.283 -18.1039 0.02019
2005ki 64 160.118 9.2023 0.02066
2005ki 5 160.118 9.2023 0.02066
2005ki 51 160.118 9.2023 0.02066
ASASSN-15lg 150 198.887 3.5007 0.02121
2001dl 57 320.257 9.1807 0.01983
PSNJ1602512 150 240.714 47.2248 0.02039
2007st 5 27.177 -48.6494 0.02061
ASASSN-17bs 150 268.026 21.566 0.02014
2010A 66 38.1644 0.6195 0.02079
2003W 57 146.706 16.0438 0.02087
2003W 63 146.706 16.0438 0.02087
2001br 57 277.607 34.1036 0.02046
ASASSN-16lc 18 292.252 -51.971 0.02001
AT2016eoa 150 5.3461 22.4354 0.01993
ASASSN-16lg 150 267.051 17.6256 0.02093
2004bw 57 225.945 -3.3046 0.02207
2008Z 57 145.814 36.2844 0.02146
2008Z 65 145.814 36.2844 0.02146
2007bc 57 169.811 20.809 0.02187
2007bc 5 169.811 20.809 0.02187
2007bc 64 169.811 20.809 0.02187
SN2016ajf 150 49.9771 41.565 0.01978
2009dc 5 237.801 25.7078 0.02179
2018fop 18 18.8255 -6.859 0.02017
ASASSN-15uv 150 126.784 27.8116 0.02104
ASASSN-18da 18 52.3194 -23.9786 0.02157
2006et 64 10.6909 -23.5584 0.0214
2006et 5 10.6909 -23.5584 0.0214
1999dg 57 227.868 13.4849 0.02263
2001cp 57 257.761 5.8411 0.02245
1995ak 61 41.4535 3.2306 0.02193
2009na 66 161.756 26.5439 0.02209
ASASSN-18iu 18 269.418 50.0386 0.02202
ATLAS16dpb 150 44.3919 5.9782 0.02238
SNF20080514-002 57 202.303 11.2724 0.02292
2006dm 57 355.449 -3.669 0.02161
2006dm 56 355.449 -3.669 0.02161
2008ia 5 132.647 -61.2779 0.02257
2004bg 57 170.256 21.3398 0.02214
2004bg 63 170.256 21.3398 0.02214
2002cu 57 272.71 31.109 0.02217
2006cp 64 184.812 22.4273 0.02334
2006cp 57 184.812 22.4273 0.02334
2000fa 57 108.874 23.4284 0.02181
2000fa 62 108.874 23.4284 0.02181
ASASSN-16bn 18 47.6437 4.2697 0.02253
ASASSN-17aj 150 173.294 -10.2218 0.02253
AT2017cfb 150 208.528 9.4128 0.02382
2006bq 64 279.995 39.9824 0.02226
2002ef 57 357.873 -13.3796 0.02224
2010cr 56 202.354 11.7962 0.02368
ASASSN-15il 150 239.284 -12.6733 0.02374
2000cn 57 269.418 27.8328 0.0226
2000cn 62 269.418 27.8328 0.0226
2017hoq 18 79.8345 -17.6116 0.0235
2009jb 56 260.925 30.4973 0.02324
2014ai 51 139.934 33.7637 0.02317
ASASSN-14fa 56 43.0961 -31.8217 0.02262
2004at 57 164.688 59.4867 0.02287
PS15cku 150 21.0939 3.5876 0.02222
2007ci 57 176.441 19.7705 0.02295
2007ci 64 176.441 19.7705 0.02295
2009al 51 162.842 8.5785 0.02328
2009al 5 162.842 8.5785 0.02328
2009al 65 162.842 8.5785 0.02328
2009cz 56 138.75 29.7353 0.02315
2009cz 5 138.75 29.7353 0.02315
ASASSN-15nr 150 261.674 13.9098 0.02309
2004bk 57 204.37 4.1031 0.02405
2018enc 18 229.869 -9.8806 0.0245
2007qe 57 358.554 27.4093 0.0228
2007qe 64 358.554 27.4093 0.0228
